Boite vitesse,Brand,Car ID,Carrosserie,Couleur extérieure,Couleur intérieure,Cylindrée,Date de l'annonce,Gouvernorat,Génération,Kilométrage,Marque,Mise en circulation,Model,Modèle,Moteur,Nombre de places,Nombre de portes,Price,Puissance,Puissance cumulée,Puissance fiscale,Puissance thermique,Sellerie,Transmission,Énergie
Manuelle,kia,108222,Citadine,Gris Shark,Noir,1560cm³,19.12.2024,Sfax,IV11/2016 - 09/2020,145 000km,KIA,01.2019,rio-5p,Rio 5p,1.2 i-CVVT 16V,5,5,49 000DT,84ch dyn,,5cv,,Tissu,Traction,Essence
Automatique,kia,109374,SUV/4x4,Beige,Noir,1600cm³,19.12.2024,Sousse,IV Phase 207/2018 - 12/2021,85 000km,KIA,03.2021,sportage,Sportage,,5,4,112 000DT,,,11cv,,Cuir intégral,Traction,Essence
Manuelle,kia,109267,Coupé,Gris Shark,Noir,1200cm³,19.12.2024,Ariana,IV11/2016 - 09/2020,80 000km,KIA,10.2018,rio-5p,Rio 5p,1.2 i-CVVT 16V,5,4,52 500DT,84ch dyn,,5cv,,Tissu,Traction,Essence
Manuelle,kia,108209,Compacte,Gris argent,Noir,1200cm³,19.12.2024,Tunis,(JA) Phase 207/2020 - Aujourd'hui,90 000km,KIA,01.2022,picanto,Picanto,1.2 DPI 16V ISG,5,5,42 900DT,84ch dyn,,5cv,,Tissu,Traction,Essence
Automatique,kia,107143,SUV/4x4,Gris Shark,Noir,1600cm³,19.12.2024,Tunis,Phase 111/2020 - 12/2024,37 000km,KIA,06.2021,seltos,Seltos,1.4 T-GDI  boite auto,5,4,95 000DT,140ch dyn,,8cv,,Tissu,Traction,Essence
Automatique,kia,106929,SUV/4x4,Noir,Noir,1600cm³,19.12.2024,Tunis,V12/2021 - Aujourd'hui,39 000km,KIA,06.2022,sportage,Sportage,1.6 T-GDI 16V Mhev 4x2 DCT7,5,4,148 600DT,150ch dyn,,10cv,,Cuir intégral,Intégrale,Essence
Automatique,kia,106745,SUV/4x4,Blanc,Gris,2000cm³,19.12.2024,Tunis,IV Phase 109/2015 - 07/2018,140 000km,KIA,11.2016,sportage,Sportage,,5,5,97 000DT,,,10cv,,Cuir intégral,Propulsion,Diesel
Automatique,kia,106741,Berline,Noir,Noir,1400cm³,19.12.2024,Tunis,IV11/2016 - 09/2020,114 000km,KIA,08.2019,rio,Rio Berline,1.4 i-CVVT 16V,5,4,58 000DT,100ch dyn,,6cv,,Tissu,Traction,Essence
Automatique,kia,109450,SUV/4x4,Blanc,Beige,6000cm³,19.12.2024,Ben Arous,III Phase 106/2010 - 12/2013,220 000km,KIA,12.2010,sportage,Sportage,2.0 GDi CVVT 16V 4x4,5,5,49 000DT,163ch dyn,,11cv,,Tissu,Traction,Essence
Automatique,kia,106713,SUV/4x4,Gris argent,Noir,1685cm³,19.12.2024,Ariana,IV03/2012 - Aujourd'hui,213 000km,KIA,09.2014,carens,Carens,1.7 CRDi 16V,5,4,45 000DT,136ch dyn,,8cv,,Cuir intégral,Intégrale,Diesel
Automatique,kia,107724,SUV/4x4,Noir,Noir,1598cm³,19.12.2024,Sousse,IV Phase 207/2018 - 12/2021,55 000km,KIA,01.2021,sportage,Sportage,1.6 CRDi VGT 16V 4x2 DCT7,5,4,114 000DT,136ch dyn,,7cv,,Similicuir,Traction,Diesel
Automatique,kia,109188,SUV/4x4,Gris anthracite,Gris,1600cm³,19.12.2024,Ariana,V12/2021 - Aujourd'hui,37 400km,KIA,09.2023,sportage-hybride,Sportage Hybride,1.6 T-GDI 16V 230 Hybrid 4x2,5,4,155 000DT,,230ch dyn,10cv,179ch dyn,Cuir partiel,Traction,Hybride essence
Manuelle,kia,108448,Berline,Marron,Gris,1200cm³,19.12.2024,Ariana,IV11/2016 - 09/2020,68 954km,KIA,01.2019,rio-5p,Rio 5p,1.2 i-CVVT 16V,5,4,54 000DT,84ch dyn,,5cv,,Tissu,Traction,Essence
Manuelle,kia,107664,Berline,Noir,Noir,1000cm³,19.12.2024,Ariana,(JA) Phase 207/2020 - Aujourd'hui,3 805km,KIA,02.2021,picanto,Picanto,1.0 T-GDi 12V ISG,5,4,43 000DT,100ch dyn,,4cv,,Tissu,Traction,Essence
Automatique,kia,105623,Berline,Noir,Noir,1200cm³,19.12.2024,Ariana,(JA) Phase 207/2020 - Aujourd'hui,0km,KIA,08.2024,picanto,Picanto,1.2 DPI 16V BVR5 ISG,5,4,61 000DT,84ch dyn,,5cv,,Tissu,Traction,Essence
Automatique,kia,104705,SUV/4x4,Gris anthracite,Noir,1591cm³,19.12.2024,Tunis,IV Phase 207/2018 - 12/2021,77 000km,KIA,06.2021,sportage,Sportage,,5,5,103 000DT,,,8cv,,Cuir partiel,Traction,Essence
Automatique,kia,104450,SUV/4x4,Blanc,Beige,1591cm³,19.12.2024,Tunis,IV Phase 207/2018 - 12/2021,123 000km,KIA,04.2019,sportage,Sportage,,5,5,76 000DT,,,8cv,,Cuir partiel,Traction,Essence
Automatique,kia,109341,Autres,Rouge,Noir,1200cm³,19.12.2024,Tunis,(JA)03/2017 - 07/2020,16 000km,KIA,04.2019,picanto,Picanto,,5,5,47 000DT,,,5cv,,Cuir intégral,Traction,Essence
Automatique,kia,108496,Autres,Noir,Noir,1200cm³,19.12.2024,Tunis,(JA) Phase 207/2020 - Aujourd'hui,63 000km,KIA,01.2022,picanto,Picanto,1.2 DPI 16V BVR5 ISG,4,4,54 500DT,84ch dyn,,4cv,,Cuir intégral,Traction,Essence
Manuelle,kia,108020,Citadine,Rouge,Noir,1200cm³,19.12.2024,Tunis,IV11/2016 - 09/2020,70 000km,KIA,09.2020,rio-5p,Rio 5p,1.2 i-CVVT 16V,5,5,57 500DT,84ch dyn,,5cv,,Tissu,Traction,Essence
Manuelle,kia,107659,Citadine,Blanc,Noir,1200cm³,19.12.2024,Tunis,IV Phase 209/2020 - Aujourd'hui,70 000km,KIA,07.2021,rio-5p,Rio 5p,,5,5,62 000DT,,,5cv,,Tissu,Traction,Essence
Automatique,kia,107627,SUV/4x4,Blanc,Noir,1999cm³,19.12.2024,Tunis,V12/2021 - Aujourd'hui,15 000km,KIA,05.2024,sportage,Sportage,,5,5,188 000DT,,,7cv,,Cuir intégral,Traction,Hybride diesel
Manuelle,kia,107575,Citadine,Rouge,Noir,1199cm³,19.12.2024,Tunis,IV Phase 209/2020 - Aujourd'hui,9 000km,KIA,06.2023,rio-5p,Rio 5p,1.2 i-CVVT 16V ISG,5,5,73 000DT,84ch dyn,,5cv,,Tissu,Traction,Essence
Automatique,kia,106121,SUV/4x4,Gris anthracite,Noir,1599cm³,19.12.2024,Tunis,Phase 111/2020 - 12/2024,130 000km,KIA,04.2021,seltos,Seltos,,5,5,89 000DT,,,8cv,,Tissu,Traction,Essence
Manuelle,kia,105619,Citadine,Bleu,Noir,1200cm³,19.12.2024,Tunis,IV Phase 209/2020 - Aujourd'hui,60 000km,KIA,09.2021,rio-5p,Rio 5p,1.2 i-CVVT 16V ISG,5,5,65 000DT,84ch dyn,,5cv,,Tissu,Traction,Essence
Manuelle,kia,105371,Citadine,Gris Shark,Noir,1199cm³,19.12.2024,Tunis,IV Phase 209/2020 - Aujourd'hui,85 000km,KIA,08.2022,rio-5p,Rio 5p,,5,5,59 650DT,,,5cv,,Tissu,Traction,Essence
Automatique,kia,105291,SUV/4x4,Gris argent,Noir,1599cm³,19.12.2024,Tunis,IV Phase 207/2018 - 12/2021,114 000km,KIA,09.2021,sportage-hybride,Sportage Hybride,,5,5,107 000DT,,,7cv,,Tissu,Traction,Hybride diesel
Manuelle,kia,105249,SUV/4x4,Gris Shark,Noir,1599cm³,19.12.2024,Tunis,IV Phase 207/2018 - 12/2021,19 000km,KIA,07.2021,sportage,Sportage,1.6 CRDi 16V Eco-Dynamics+ 4x2,5,5,128 000DT,116ch dyn,,7cv,,Cuir intégral,Traction,Diesel
Automatique,kia,105047,SUV/4x4,Blanc,Beige,2000cm³,19.12.2024,Tunis,IV Phase 109/2015 - 07/2018,140 000km,KIA,01.2017,sportage,Sportage,,5,5,105 000DT,,,10cv,,Cuir intégral,Traction,Diesel
Manuelle,kia,104750,Citadine,Noir,Noir,1200cm³,19.12.2024,Tunis,IV Phase 209/2020 - Aujourd'hui,64 000km,KIA,12.2021,rio-5p,Rio 5p,1.2 i-CVVT 16V ISG,5,5,64 000DT,84ch dyn,,5cv,,Tissu,Traction,Essence
Automatique,kia,104723,SUV/4x4,Gris Shark,Noir,1699cm³,19.12.2024,Tunis,IV Phase 207/2018 - 12/2021,127 000km,KIA,08.2019,sportage,Sportage,,5,5,83 500DT,,,8cv,,Cuir intégral,Traction,Essence
Automatique,kia,104332,SUV/4x4,Blanc,Beige,1599cm³,19.12.2024,Tunis,IV Phase 207/2018 - 12/2021,140 000km,KIA,11.2020,sportage-hybride,Sportage Hybride,,5,5,98 000DT,,,7cv,,Cuir intégral,Traction,Hybride diesel
Automatique,kia,104303,SUV/4x4,Gris Shark,Noir,1599cm³,19.12.2024,Tunis,IV Phase 207/2018 - 12/2021,125 000km,KIA,08.2019,sportage,Sportage,,5,5,85 000DT,,,8cv,,Cuir intégral,Traction,Essence
Automatique,kia,103599,SUV/4x4,Bleu,Beige,1599cm³,19.12.2024,Tunis,IV Phase 207/2018 - 12/2021,69 000km,KIA,11.2019,sportage,Sportage,,5,5,95 000DT,,,8cv,,Cuir intégral,Traction,Essence
Automatique,kia,101751,SUV/4x4,Bleu,Noir,1600cm³,19.12.2024,Tunis,IV Phase 207/2018 - 12/2021,40 000km,KIA,04.2020,sportage,Sportage,,5,5,119 000DT,,,8cv,,Cuir intégral,Traction,Essence
Automatique,kia,100281,SUV/4x4,Gris anthracite,Noir,1599cm³,19.12.2024,Tunis,V12/2021 - Aujourd'hui,23 000km,KIA,06.2022,sportage,Sportage,,5,5,143 000DT,,,10cv,,Tissu,Traction,Essence
Automatique,kia,99793,SUV/4x4,Noir,Noir,1599cm³,19.12.2024,Tunis,IV Phase 207/2018 - 12/2021,120 000km,KIA,09.2021,sportage,Sportage,,5,5,119 000DT,,,6cv,,Cuir partiel,Traction,Hybride rechargeable diesel
Manuelle,kia,109435,Coupé,Noir,Noir,1600cm³,19.12.2024,Tunis,08MY Coupé10/2008 - 04/2013,205 000km,KIA,12.2010,cerato-koup,Cerato KOUP,,5,5,32 500DT,,,7cv,,Tissu,Traction,Essence
Automatique,kia,108916,Citadine,Noir,Noir,1200cm³,19.12.2024,Tunis,(JA) Phase 207/2020 - Aujourd'hui,28 000km,KIA,12.2021,picanto,Picanto,,5,5,46 500DT,,,4cv,,Tissu,Traction,Essence
Manuelle,kia,108055,Citadine,Noir,Noir,1200cm³,19.12.2024,Tunis,IV Phase 209/2020 - Aujourd'hui,68 000km,KIA,11.2021,rio-5p,Rio 5p,1.2 i-CVVT 16V ISG,5,5,62 500DT,84ch dyn,,5cv,,Tissu,Traction,Essence
Automatique,kia,106596,Autres,Gris Shark,Noir,1600cm³,19.12.2024,Tunis,IV Phase 207/2018 - 12/2021,124 000km,KIA,05.2019,sportage,Sportage,,5,5,97 000DT,,,8cv,,Similicuir,Traction,Diesel
