Title,Price,Fuel,Mileage,Year
Audi Q8 S_Line,398 000,Essence,16 000,2021
Mercedes-Benz Classe C coupé AMG,173 000,Essence,50 000,2019
MG ZS,Sous leasing                    78 000,Essence,35 000,2022
Suzuki Baleno,40 000,Essence,160 000,2017
KIA Sportage,95 000,Essence,69 000,2019
Ford Kuga,69 000,Essence,100 000,2017
Mercedes-Benz CLS AMG,119 000,Diesel,160 000,2011
Mercedes-Benz GLA 180 Pack AMG,185 000,Essence,40 000,2022
Seat Arona,73 500,Essence,26 000,2021
Toyota Corolla,71 000,Essence,90 000,2021
Haval H6 Luxury,79 000,Essence,115 000,2020
Skoda Superb Ambassador,125 000,Essence,30 000,2021
MG 6,79 000,Essence,22 000,2021
Mercedes-Benz GLC Coupé AMG,189 000,Diesel,190 000,2017
Mercedes-Benz Classe C 180 elegance,89 000,Essence,170 000,2016
Mercedes-Benz GLC Coupé AMG,278 000,Hybride,69 000,2020
Mercedes-Benz Classe E 180,135 000,Essence,90 000,2018
Ssangyong Actyon Sports,42 000,Diesel,200 000,2017
DS 3,35 000,Essence,138 000,2012
Audi A3 Berline,97 000,Essence,17 000,2020
Nissan Qashqai,43 000,Essence,147 000,2011
BMW Série 5 Confort Luxury,90 000,Essence,200 000,2015
Volkswagen Passat R-Line,101 000,Essence,100 000,2019
Land Rover Discovery Sport,125 000,Diesel,160 000,2017
Citroën C3 Shine,44 500,Essence,90 000,2019
Volkswagen Amarok,49 000,Diesel,370 000,2012
Mercedes-Benz Classe E Business,Sous leasing                    291 800,Essence,8 000,2022
Mini 3 portes one,37 000,Essence,140 000,2013
BMW Série 1,68 000,Essence,126 000,2017
Toyota Hilux Double Cabine 4*4,231 000,Essence,3 000,2024
Peugeot 2008 Allure,97 000,Essence,34 000,2022
Mercedes-Benz Classe A AMG,158 000,Essence,20 000,2022
Volkswagen Passat R-Line,106 000,Essence,60 000,2020
Volkswagen Tiguan,90 000,Essence,60 000,2018
Mercedes-Benz Classe C AMG,99 000,Essence,160 000,2014
Chery Tiggo 8 Pro,96 000,Essence,80 000,2022
BYD F3,47 000,Essence,10 000,2022
Citroën C3 Shine,44 500,Essence,58 000,2019
BMW Série 4 Coupé 420i Pack M,107 000,Essence,160 000,2015
Audi Q3 S-line,90 000,Essence,100 000,2017
Volkswagen Golf 8 United,109 000,Essence,26 000,2020
Peugeot 208,35 000,Essence,60 000,2020
Audi A5 Cabriolet S-line,59 000,Essence,120 000,2010
Honda Accord,135 000,Essence,11 000,2022
Volkswagen Golf 7,74 000,Essence,40 000,2019
KIA Sportage,119 000,Essence,40 000,2020
BMW Série 2 Gran Coupé 218i,135 000,Essence,21 000,2022
Fiat Tipo 5 portes,46 000,Essence,75 000,2018
Haval H6,Sous leasing                    150 600,Essence,13 000,2022
Volkswagen Golf 7 Smartline,52 000,Essence,140 000,2015
Haval H6 Luxury,78 000,Essence,90 000,2019
Chevrolet Cruze,40 000,Essence,90 000,2018
Volkswagen Golf 7,76 000,Essence,29 000,2019
Mercedes-Benz Classe E 200,51 000,Essence,330 000,2010
Mercedes-Benz Classe E e220,77 000,Diesel,330 000,2011
Volkswagen Golf 8 R-Line,145 000,Essence,40 000,2021
Mercedes-Benz Classe C AMG,240 000,Essence,16 000,2023
Dodge RAM Rumble bee,Non dédouané                    212 000,Essence,65 000,2019
Mercedes-Benz CLA,81 000,Essence,163 000,2014
Haval H2 Luxury,69 000,Essence,40 000,2019
Haval H6 Luxury,86 000,Essence,32 000,2019
Mercedes-Benz CLA AMG,169 000,Essence,30 000,2021
Mercedes-Benz Classe A 180d,98 000,Diesel,50 000,2019
Volkswagen Golf 7,74 000,Essence,64 000,2019
Audi A3 Sportback S-Line,95 000,Essence,70 000,2019
Mercedes-Benz Classe C AMG,205 000,Essence,40 000,2022
DS 7 Crossback Grand Chic,105 000,Essence,140 000,2021
Mercedes-Benz Classe C AMG,Sous leasing                    264 200,Essence,50 000,2022
Volkswagen Golf 7 Join,84 000,Essence,70 000,2018
Mercedes-Benz CLA 220,79 000,Diesel,240 000,2013
BMW X6 Pack M,110 000,Diesel,270 000,2008
Audi A5 Cabriolet S-line,59 000,Essence,120 000,2010
Seat Leon Style,73 000,Essence,65 000,2020
Citroën Berlingo Utilitaire,37 500,Diesel,170 000,2018
KIA Sportage,143 000,Essence,23 000,2022
Volkswagen Golf 7,64 000,Essence,180 000,2019
Mercedes-Benz Classe S Executive,78 000,Essence,170 000,2008
Volkswagen Tiguan Confortline,128 000,Essence,33 000,2020
Volkswagen Golf 7 R-Line,80 000,Essence,130 000,2018
Hyundai Kona,79 000,Hybride,30 000,2021
Seat Leon FR,Sous leasing                    122 800,Essence,70 000,2022
Hyundai Grand i10,53 000,Essence,30 000,2022
Peugeot 2008 GT_LINE,92 000,Essence,30 000,2021
Mercedes-Benz Classe C coupé AMG,179 000,Essence,40 000,2019
KIA Sportage GT-Line,119 000,Hybride,120 000,2021
BMW Série 3 318i,88 000,Essence,117 000,2017
Chery Tiggo 2 Confort,43 500,Essence,60 000,2020
Haval Jolion,87 000,Essence,40 000,2022
Mercedes-Benz Classe C AMG,208 000,Essence,40 000,2022
