Boite vitesse,Brand,Car ID,Carrosserie,Couleur extérieure,Couleur intérieure,Cylindrée,Date de l'annonce,Gouvernorat,Génération,Kilométrage,Marque,Mise en circulation,Model,Modèle,Moteur,Nombre de places,Nombre de portes,Price,Puissance,Puissance cumulée,Puissance fiscale,Puissance thermique,Sellerie,Transmission,Énergie
Manuelle,hyundai,108434,Autres,Blanc,Noir,2498cm³,20.12.2024,Ben Arous,,26 000km,Hyundai,11.2021,autre,Autre,,3.0,3.0,72 000DT,,,8cv,,Tissu,Traction,Diesel
Automatique,hyundai,108130,Citadine,Rouge,Noir,999cm³,20.12.2024,Ben Arous,I01/2014 - 10/2020,97 000km,Hyundai,2.202,grand-i10,Grand i10,1.2 87cv boite auto,5.0,4.0,41 500DT,87ch dyn,,4cv,,Tissu,Traction,Essence
Manuelle,hyundai,107219,Citadine,Noir,Noir,999cm³,20.12.2024,Ben Arous,II phase 111/2020 - 11/2023,43 000km,Hyundai,2.2021,grand-i10,Grand i10,,5.0,4.0,41 900DT,,,4cv,,Tissu,Traction,Essence
Manuelle,hyundai,106655,Citadine,Noir,Gris,1198cm³,20.12.2024,Ben Arous,II 5 Portes11/2014 - 07/2018,132 000km,Hyundai,12.2016,i20,i20,,5.0,4.0,43 000DT,,,5cv,,Tissu,Traction,Essence
Manuelle,hyundai,106012,Citadine,Noir,Noir,1198cm³,20.12.2024,Ben Arous,II phase 111/2020 - 11/2023,34 000km,Hyundai,12.2022,grand-i10,Grand i10,,5.0,4.0,49 000DT,,,5cv,,Tissu,Traction,Essence
Manuelle,hyundai,105059,Coupé,Gris argent,Noir,1598cm³,20.12.2024,Ben Arous,Coupé01/2002 - 12/2006,138 000km,Hyundai,1.2003,coupe,Coupe,,4.0,2.0,30 000DT,,,7cv,,Tissu,Traction,Essence
Automatique,hyundai,102539,SUV/4x4,Gris argent,Noir,1598cm³,20.12.2024,Ben Arous,IV10/2020 - Aujourd'hui,40 000km,Hyundai,1.2022,tucson-hybride,Tucson Hybride,,5.0,4.0,167 000DT,,,7cv,,Similicuir,Traction,Hybride diesel
Automatique,hyundai,93674,Citadine,Orange,,,20.12.2024,Ben Arous,FL (SB)01/2015 - Aujourd'hui,140 000km,Hyundai,8.2016,veloster,Veloster,,,,44 900DT,,,8cv,,,Traction,Essence
Manuelle,hyundai,109464,Citadine,Bleu,Gris,998cm³,19.12.2024,Gabès,II phase 111/2020 - 11/2023,79 500km,Hyundai,5.2021,grand-i10,Grand i10,1.0 65cv populaire,5.0,5.0,38 500DT,65ch dyn,,4cv,,Tissu,Traction,Essence
Automatique,hyundai,108969,SUV/4x4,Noir,Noir,1598cm³,19.12.2024,Ben Arous,IV10/2020 - Aujourd'hui,115 000km,Hyundai,7.2021,tucson,Tucson,1.6 CRDi 16V Mild Hybrid 4WD DCT7 S&S,5.0,5.0,117 000DT,,,7cv,136ch dyn,Alcantara,Traction,Hybride diesel
Automatique,hyundai,108001,SUV/4x4,Gris Shark,Gris,1600cm³,19.12.2024,Ariana,IV10/2020 - Aujourd'hui,0km,Hyundai,9.2024,tucson,Tucson,,5.0,4.0,212 000DT,,,7cv,,Cuir partiel,Intégrale,Hybride diesel
Manuelle,hyundai,109451,Citadine,Noir,Noir,1200cm³,19.12.2024,Tunis,I01/2014 - 10/2020,159 000km,Hyundai,5.2017,grand-i10,Grand i10,,5.0,5.0,33 800DT,,,5cv,,Tissu,Traction,Essence
Manuelle,hyundai,108935,Berline,Bleu,Noir,1200cm³,19.12.2024,Tunis,01/2015 - 10/2020,90 000km,Hyundai,2.2019,grand-i10-sedan,Grand i10 Sedan,1.2 L,5.0,5.0,34 900DT,87ch dyn,,5cv,,Tissu,Traction,Essence
Manuelle,hyundai,108336,Compacte,Noir,Noir,1000cm³,19.12.2024,Tunis,II phase 111/2020 - 11/2023,19 000km,Hyundai,3.2022,grand-i10,Grand i10,,5.0,5.0,44 500DT,,,4cv,,Tissu,Traction,Essence
Automatique,hyundai,105293,Autres,Noir,Noir,1598cm³,19.12.2024,Sfax,III phase 207/2018 - 10/2020,82 648km,Hyundai,7.202,tucson,Tucson,,5.0,4.0,120 000DT,,,7cv,,Cuir intégral,Propulsion,Hybride diesel
