Car ID,Brand,Model,Price,Kilométrage,Mise en circulation,Carrosserie,Boite vitesse,Cylindrée,Nombre de portes,Puissance fiscale,Transmission,Énergie
106713,kia,carens,45 000DT,213 000km,9.2014,SUV/4x4,Automatique,1685cm³,4.0,8cv,Intégrale,Diesel
107724,kia,sportage,114 000DT,55 000km,1.2021,SUV/4x4,Automatique,1598cm³,4.0,7cv,Traction,Diesel
109188,kia,sportage-hybride,155 000DT,37 400km,9.2023,SUV/4x4,Automatique,1600cm³,4.0,10cv,Traction,Hybride essence
108448,kia,rio-5p,54 000DT,68 954km,1.2019,Berline,Manuelle,1200cm³,4.0,5cv,Traction,Essence
107664,kia,picanto,43 000DT,3 805km,2.2021,Berline,Manuelle,1000cm³,4.0,4cv,Traction,Essence
105623,kia,picanto,61 000DT,0km,8.2024,Berline,Automatique,1200cm³,4.0,5cv,Traction,Essence
104705,kia,sportage,103 000DT,77 000km,6.2021,SUV/4x4,Automatique,1591cm³,5.0,8cv,Traction,Essence
104450,kia,sportage,76 000DT,123 000km,4.2019,SUV/4x4,Automatique,1591cm³,5.0,8cv,Traction,Essence
109341,kia,picanto,47 000DT,16 000km,4.2019,Autres,Automatique,1200cm³,5.0,5cv,Traction,Essence
108496,kia,picanto,54 500DT,63 000km,1.2022,Autres,Automatique,1200cm³,4.0,4cv,Traction,Essence
108020,kia,rio-5p,57 500DT,70 000km,9.202,Citadine,Manuelle,1200cm³,5.0,5cv,Traction,Essence
107659,kia,rio-5p,62 000DT,70 000km,7.2021,Citadine,Manuelle,1200cm³,5.0,5cv,Traction,Essence
107627,kia,sportage,188 000DT,15 000km,5.2024,SUV/4x4,Automatique,1999cm³,5.0,7cv,Traction,Hybride diesel
107575,kia,rio-5p,73 000DT,9 000km,6.2023,Citadine,Manuelle,1199cm³,5.0,5cv,Traction,Essence
106121,kia,seltos,89 000DT,130 000km,4.2021,SUV/4x4,Automatique,1599cm³,5.0,8cv,Traction,Essence
105619,kia,rio-5p,65 000DT,60 000km,9.2021,Citadine,Manuelle,1200cm³,5.0,5cv,Traction,Essence
105371,kia,rio-5p,59 650DT,85 000km,8.2022,Citadine,Manuelle,1199cm³,5.0,5cv,Traction,Essence
105291,kia,sportage-hybride,107 000DT,114 000km,9.2021,SUV/4x4,Automatique,1599cm³,5.0,7cv,Traction,Hybride diesel
105249,kia,sportage,128 000DT,19 000km,7.2021,SUV/4x4,Manuelle,1599cm³,5.0,7cv,Traction,Diesel
105047,kia,sportage,105 000DT,140 000km,1.2017,SUV/4x4,Automatique,2000cm³,5.0,10cv,Traction,Diesel
104750,kia,rio-5p,64 000DT,64 000km,12.2021,Citadine,Manuelle,1200cm³,5.0,5cv,Traction,Essence
104723,kia,sportage,83 500DT,127 000km,8.2019,SUV/4x4,Automatique,1699cm³,5.0,8cv,Traction,Essence
104332,kia,sportage-hybride,98 000DT,140 000km,11.202,SUV/4x4,Automatique,1599cm³,5.0,7cv,Traction,Hybride diesel
104303,kia,sportage,85 000DT,125 000km,8.2019,SUV/4x4,Automatique,1599cm³,5.0,8cv,Traction,Essence
103599,kia,sportage,95 000DT,69 000km,11.2019,SUV/4x4,Automatique,1599cm³,5.0,8cv,Traction,Essence
